Edad,Qx,Px,Vx,lx,dx,Cx,Dx,Mx,Nx,Rx,Sx
42,0.001145,0.998855,0.288959224,97513.1188,111.652521,31.32332606,28177.31514,8063.526682,690572.9954,321885.2162,12658251.83
43,0.001208,0.998792,0.280542936,97401.46628,117.6609713,32.04752847,27325.29332,8032.203356,662395.6802,313821.6896,11967678.83
44,0.001278,0.998722,0.272371782,97283.80531,124.3287032,32.87731116,26497.36346,8000.155827,635070.3869,305789.4862,11305283.15
45,0.001353,0.998647,0.264438624,97159.4766,131.4567718,33.74975518,25692.71828,7967.278516,608573.0234,297789.3304,10670212.76
46,0.001435,0.998565,0.256736528,97028.01983,139.2352085,34.7055961,24910.63692,7933.528761,582880.3052,289822.0519,10061639.74
47,0.001525,0.998475,0.249258765,96888.78462,147.7553966,35.7566288,24150.3788,7898.823165,557969.6682,281888.5231,9478759.436
48,0.001623,0.998377,0.241998801,96741.02923,157.0106904,36.88970759,23411.21308,7863.066536,533819.2894,273989.6999,8920789.768
49,0.00173,0.99827,0.234950292,96584.01854,167.0903521,38.11449227,22692.44338,7826.176828,510408.0764,266126.6334,8386970.479
50,0.001848,0.998152,0.22810708,96416.92819,178.1784833,39.45997428,21993.38393,7788.062336,487715.633,258300.4566,7876562.402
51,0.001977,0.998023,0.221463184,96238.7497,190.2640082,40.90919718,21313.33996,7748.602362,465722.2491,250512.3942,7388846.769
52,0.002119,0.997881,0.2150128,96048.48569,203.5267412,42.48626655,20651.65387,7707.693165,444408.9091,242763.7919,6923124.52
53,0.002274,0.997726,0.208750292,95844.95895,217.9514367,44.17225819,20007.66312,7665.206898,423757.2552,235056.0987,6478715.611
54,0.002446,0.997554,0.202670186,95627.00752,233.9036604,46.0245615,19380.74339,7621.03464,403749.5921,227390.8918,6054958.356
55,0.002635,0.997365,0.196767171,95393.10386,251.3608287,48.01898942,18770.23116,7575.010079,384368.8487,219769.8572,5651208.764
56,0.002844,0.997156,0.191036088,95141.74303,270.5831172,50.18557304,18175.50641,7526.991089,365598.6176,212194.8471,5266839.915
57,0.003074,0.996926,0.18547193,94871.15991,291.6339456,52.51447652,17595.93715,7476.805516,347423.1112,204667.856,4901241.298
58,0.003329,0.996671,0.180069835,94579.52596,314.8552419,55.04459371,17030.91965,7424.29104,329827.174,197191.0505,4553818.186
59,0.003612,0.996388,0.174825083,94264.67072,340.4839906,57.79139983,16479.82886,7369.246446,312796.2543,189766.7594,4223991.012
60,0.003926,0.996074,0.16973309,93924.18673,368.7463571,60.76549381,15942.04244,7311.455046,296316.4255,182397.513,3911194.758
61,0.004275,0.995725,0.164789408,93555.44037,399.9495076,63.98780825,15416.94561,7250.689552,280374.383,175086.0579,3614878.333
62,0.004664,0.995336,0.159989716,93155.49087,434.4772094,67.48726745,14903.92055,7186.701744,264957.4374,167835.3684,3334503.949
63,0.005096,0.994904,0.155329822,92721.01366,472.5062856,71.25661851,14402.33851,7119.214476,250053.5169,160648.6667,3069546.512
64,0.005579,0.994421,0.150805652,92248.50737,514.6544226,75.35222893,13911.59631,7047.957858,235651.1784,153529.4522,2819492.995
65,0.006119,0.993881,0.146413254,91733.85295,561.3194462,79.79088049,13431.05195,6972.605629,221739.5821,146481.4943,2583841.817
66,0.006723,0.993277,0.142148791,91172.5335,612.9529427,84.59273746,12960.06538,6892.814749,208308.5301,139508.8887,2362102.235
67,0.0074,0.9926,0.138008535,90559.58056,670.1408961,89.7914205,12497.99501,6808.222011,195348.4647,132616.0739,2153793.705
68,0.00816,0.99184,0.133988869,89889.43966,733.4978277,95.41800395,12044.18432,6718.430591,182850.4697,125807.8519,1958445.24
69,0.009015,0.990985,0.13008628,89155.94184,803.7408157,101.5103427,11597.96483,6623.012587,170806.2854,119089.4213,1775594.77
70,0.009977,0.990023,0.126297359,88352.20102,881.4899096,108.087231,11158.64969,6521.502244,159208.3205,112466.4088,1604788.485
71,0.011061,0.988939,0.122618796,87470.71111,967.5135356,115.1799461,10725.55324,6413.415013,148049.6709,105944.9065,1445580.164
