Edad,qx,Ix,dx,v^x,k,Dx,Cx,Mx,Rx,Nx,Sx
56,0.01033,87830.5104,907.2891725,0.111207224,44,9767.387231,97.01645202,4124.117259,80087.20583,146725.0193,1732583.149
57,0.011119,86923.22123,966.4992969,0.106930023,45,9294.70204,99.3728769,4027.100807,75963.08857,136957.632,1585858.13
58,0.011967,85956.72193,1028.644091,0.10281733,46,8837.840623,101.6946526,3927.727931,71935.98776,127662.93,1448900.498
59,0.012879,84928.07784,1093.788715,0.098862817,47,8396.229023,103.9759938,3826.033278,68008.25983,118825.0894,1321237.568
60,0.01386,83834.28913,1161.943247,0.095060401,48,7969.321144,106.2065299,3722.057284,64182.22655,110428.8603,1202412.479
61,0.014914,82672.34588,1232.975366,0.091404232,49,7556.602262,108.3645828,3615.850754,60460.16927,102459.5392,1091983.618
62,0.016048,81439.37051,1306.939018,0.087888684,50,7157.599131,110.4472604,3507.486171,56844.31851,94902.93694,989524.0792
63,0.017265,80132.4315,1383.48643,0.08450835,51,6771.859596,112.4193807,3397.038911,53336.83234,87745.33781,894621.1422
64,0.018574,78748.94507,1462.682906,0.081258029,52,6398.984077,114.2833945,3284.61953,49939.79343,80973.47822,806875.8044
65,0.01998,77286.26216,1544.179518,0.07813272,53,6038.58591,116.0105255,3170.336136,46655.1739,74574.49414,725902.3262
66,0.02149,75742.08264,1627.697356,0.075127616,54,5690.322081,117.5817515,3054.32561,43484.83777,68535.90823,651327.832
67,0.023111,74114.38529,1712.857558,0.072238092,55,5353.881788,118.9745788,2936.743859,40430.51216,62845.58615,582791.9238
68,0.024851,72401.52773,1799.250366,0.069459704,56,5028.988679,120.1686516,2817.76928,37493.7683,57491.70436,519946.3377
69,0.02672,70602.27736,1886.492851,0.066788177,57,4715.397385,121.1494405,2697.600628,34675.99902,52462.71568,462454.6333
70,0.028724,68715.78451,1973.792194,0.064219401,58,4412.886507,121.8805308,2576.451188,31978.39839,47747.3183,409991.9176
71,0.030874,66741.99232,2060.592271,0.061749424,59,4121.279572,122.3465245,2454.570657,29401.9472,43334.43179,362244.5993
72,0.03318,64681.40005,2146.128854,0.059374446,60,3840.422295,122.5242421,2332.224133,26947.37654,39213.15222,318910.1675
73,0.035651,62535.27119,2229.444953,0.057090813,61,3570.189503,122.3854096,2209.699891,24615.15241,35372.72992,279697.0153
74,0.0383,60305.82624,2309.713145,0.054895013,62,3310.489113,121.9151279,2087.314481,22405.45252,31802.54042,244324.2854
75,0.041136,57996.11309,2385.728108,0.052783666,63,3061.24748,121.0841119,1965.399353,20318.13804,28492.05131,212521.745
